rank,symbol,gene_name,pathway_class,final_rank_score,evidence_score,tcga_log2fc,gse40435_log2fc,gse53757_log2fc,main_log_hr,main_hr,main_hr_ci_low,main_hr_ci_high,main_fdr,main_ph_p_value,stage_complete_log_hr,grade_complete_log_hr,kidney_cell_type_sanity,literature_prior,manual_review_note,pubmed_ccrcc_query,interpretation_status
1,DDC,dopa decarboxylase,Metabolism,0.6666372521235803,8.557013332477998,-1.7123061624907887,-3.0840942365643587,-3.2261870369353054,-0.4168067446963606,0.659148291539331,0.5718596794161915,0.7597606298852431,1.5931425782635616e-6,0.14047376117521387,-0.4177117676987325,-0.37925152767354525,Metabolic/decarboxylase signal compatible with epithelial metabolic rewiring.,Kidney cancer literature requires manual confirmation.,"Check whether expression is kidney-lineage, neuroendocrine-like, or stromal.",https://pubmed.ncbi.nlm.nih.gov/?term=DDC%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
2,CYFIP2,cytoplasmic FMR1 interacting protein 2,Metabolism,0.6557929331169264,9.646098386280617,-2.2779854135724413,-1.131520208693071,-1.6858177738871676,-0.44123008987349144,0.6432446854562286,0.5676246715865598,0.7289389381387831,1.548251277994415e-8,0.11427884556839717,-0.453992412701496,-0.5033095419847776,Broad cytoskeletal/regulatory signal; not kidney-cell-type specific from this pipeline alone.,ccRCC-specific role requires manual confirmation.,Prioritize whether the survival signal reflects tumor biology or tissue composition.,https://pubmed.ncbi.nlm.nih.gov/?term=CYFIP2%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
3,KL,klotho,Unclassified,0.5793083465436387,8.396295646316368,-1.642968250858963,-2.4495173085544577,-2.426454328769745,-0.4133638758779611,0.6614215636823719,0.5762099427948454,0.7592345296613432,9.353750013145848e-7,0.1906632660551685,-0.4328450819026128,-0.4088521916947407,Kidney-enriched aging/mineral-axis gene; plausible renal epithelial context.,Strong kidney biology prior; ccRCC prognostic agreement needs review.,A lower tumor expression signal may reflect loss of normal kidney program.,https://pubmed.ncbi.nlm.nih.gov/?term=KL%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
4,ACADM,acyl-CoA dehydrogenase medium chain,Metabolism,0.5716040961176417,7.867851517071265,-1.5421223544833604,-1.5002221826782205,-1.6370101513545092,-0.44954477780770535,0.6379184801838119,0.5494609067295723,0.7406168161847186,8.62704062159463e-7,0.2456725832359453,-0.4682777359639042,-0.4654958403125808,Mitochondrial fatty-acid metabolism; plausible renal epithelial metabolism.,"Metabolic cancer relevance likely, ccRCC specificity needs review.",Strong candidate for metabolic-adaptation interpretation.,https://pubmed.ncbi.nlm.nih.gov/?term=ACADM%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
5,CRYL1,crystallin lambda 1,Unclassified,0.5257364551795138,9.143927156270278,-1.0751005528299984,-1.69578909706931,-1.7178349940872006,-0.4532002843034422,0.6355908220125198,0.5562055330213105,0.726306498304958,4.593756126736201e-8,0.16945448937067503,-0.4657511964436308,-0.4638742915537268,Metabolic enzyme signal compatible with renal epithelial biology.,Kidney cancer literature requires manual confirmation.,Check whether downregulation is a renal identity/metabolic-loss signal.,https://pubmed.ncbi.nlm.nih.gov/?term=CRYL1%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
6,CLCN5,Cl-/H+ antiporter 5,Unclassified,0.5190449568155366,6.914678506823396,-1.4329416165612108,-0.7521511659009913,-1.7999564079798147,-0.4179705520742072,0.6583816161123368,0.5665022232160981,0.7651626678071168,4.371021001853495e-6,0.82043272737573,-0.4433053309441036,-0.46048468576579193,Renal proximal tubule/endocytic biology prior.,Strong kidney biology prior; ccRCC prognostic agreement needs review.,May mark retained normal tubule differentiation rather than aggressive tumor biology.,https://pubmed.ncbi.nlm.nih.gov/?term=CLCN5%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
7,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,Metabolism,0.47913333056914786,6.2627771770098475,-1.2753339737669276,-1.9183963153564372,-1.7581557606878162,-0.4145921448859503,0.6606096587953632,0.5574855683658787,0.7828097193133305,4.2894254213515614e-5,0.3197053117199996,-0.452950904258523,-0.517958476227724,Mitochondrial branched-chain amino-acid metabolism.,"Metabolic cancer relevance likely, ccRCC specificity needs review.",Candidate metabolic-adaptation gene.,https://pubmed.ncbi.nlm.nih.gov/?term=HIBCH%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
8,HHLA2,HHLA2 member of B7 family,Unclassified,0.47868473234275954,8.92735294985261,3.1066122764010244,0.725911554316831,1.1893418509342688,-0.46871237804694216,0.6258075532641013,0.5439162088419928,0.7200283561252919,6.325570278773336e-8,0.05391880901938489,-0.4649429920447127,-0.3824341233788359,Immune-checkpoint-like signal; may reflect tumor-immune interaction.,Known cancer immunology gene; ccRCC-specific direction needs review.,Interpret as immune/microenvironmental until cell source is resolved.,https://pubmed.ncbi.nlm.nih.gov/?term=HHLA2%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
9,TCIRG1,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3",Metabolism,0.46554110015278893,6.250766263599288,1.448143514893791,0.41317265477887855,1.7192551968262653,0.4294557278534527,1.536421064747406,1.301489695245274,1.8137597991159544,1.5105233778983236e-5,0.4776337592867993,0.45737889087967254,0.5277006749327663,Immune/lysosomal/proton-pump-associated signal; cell type unresolved.,"Immune/cancer literature likely, ccRCC specificity needs review.",Check immune-cell composition before tumor-cell interpretation.,https://pubmed.ncbi.nlm.nih.gov/?term=TCIRG1%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
10,PANK1,pantothenate kinase 1,Unclassified,0.45178309757161006,8.017344472817701,-1.480074612155056,-0.973737281943896,-1.539310028910279,-0.4768214482591282,0.6207533559913572,0.5323375179811508,0.7238541638693532,3.9189916199897603e-7,0.31809728924948494,-0.5035618636714335,-0.53949291932622,Metabolism/coenzyme A pathway signal; plausible metabolic adaptation.,Kidney cancer literature requires manual confirmation.,Review whether signal is tumor-intrinsic metabolism or normal-tissue retention.,https://pubmed.ncbi.nlm.nih.gov/?term=PANK1%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
11,ACAT1,acetyl-CoA acetyltransferase 1,Metabolism,0.4197995109234579,5.680812307621463,-1.1936619036748504,-1.8288358270000036,-0.8393410476721789,-0.4087572707425221,0.6644755003940083,0.5592500478544851,0.7894996027586423,7.179093926870348e-5,0.3995434126017083,-0.44456728901273074,-0.4902843955171187,Mitochondrial acetyl-CoA/ketone and amino-acid metabolism.,"Metabolic cancer relevance likely, ccRCC specificity needs review.",Strong candidate for metabolic-adaptation interpretation.,https://pubmed.ncbi.nlm.nih.gov/?term=ACAT1%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
12,FUT6,fucosyltransferase 6,Unclassified,0.412044828177932,7.044564288389148,-1.3095823735906158,-1.1253612604108916,-2.368285686960757,-0.4058860669942024,0.6663860864698149,0.5744603500447172,0.7730218738438401,6.134613920623346e-6,0.21820845104212197,-0.40242341470932874,-0.3933681974562768,Glycosylation signal; cell type unresolved.,"Cancer glycosylation literature likely, ccRCC specificity needs review.",Treat as pathway hypothesis until kidney/cancer literature is checked.,https://pubmed.ncbi.nlm.nih.gov/?term=FUT6%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
13,TEK,TEK receptor tyrosine kinase,Unclassified,0.39852434310627655,6.644352240238259,-1.438344696883773,-0.6704986760495062,-0.8582893595870184,-0.4058770649337851,0.6663920853446277,0.5769619346115127,0.7696840723278807,3.6206769395190815e-6,0.4643168774025703,-0.42782746361039253,-0.4526248022522359,Endothelial/angiogenesis-associated signal.,"Angiogenesis prior is relevant to ccRCC, but cell source is endothelial.","Interpret as vascular composition or angiogenic state, not necessarily tumor-cell intrinsic.",https://pubmed.ncbi.nlm.nih.gov/?term=TEK%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
14,IQGAP2,IQ motif containing GTPase activating protein 2,Unclassified,0.37301267097596036,7.897428485913089,-1.1058123846929433,-1.1015611278613873,-0.7124781817330204,-0.4156362728911144,0.6599202577242479,0.578544301752386,0.75274226232242325,2.208259125360421e-7,0.1036801394431667,-0.4387157380028035,-0.44119768614827326,Scaffold/cytoskeletal signaling; not cell-type-resolved here.,Cancer literature exists; ccRCC-specific evidence needs review.,Check direction against tumor suppressor versus composition explanations.,https://pubmed.ncbi.nlm.nih.gov/?term=IQGAP2%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
15,TNFAIP2,TNF alpha induced protein 2,Immune,0.37293359126795955,4.865807511521857,1.284328079367332,0.3522865337029721,0.43736887473448943,0.4305901648197023,1.5381650266193556,1.2754179814233657,1.8550402170702676,1.2158128765757106e-4,0.7495948267111958,0.4400873806371721,0.4195582849592156,TNF/inflammatory-response signal.,Inflammation/cancer literature likely; ccRCC specificity needs review.,Interpret as immune/inflammatory until cell source is resolved.,https://pubmed.ncbi.nlm.nih.gov/?term=TNFAIP2%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
16,CADPS2,calcium dependent secretion activator 2,Unclassified,0.368629784764818,6.691987489244494,-1.599704037063005,-0.4524209350594058,-1.2857683261208852,-0.4246365505457781,0.6540074405866965,0.5615208293755459,0.7617272770066695,4.285349911211798e-6,0.5017190078153182,-0.4411165604839857,-0.4187034902287662,Vesicle/secretion-related signal; not kidney-cell-type specific here.,ccRCC literature requires manual confirmation.,Lower-confidence biology unless supported externally.,https://pubmed.ncbi.nlm.nih.gov/?term=CADPS2%20%28ccRCC%20OR%20clear%20cell%20renal%20cell%20carcinoma%20OR%20kidney%20cancer%29,candidate prognostic association; requires manual literature and biology review
