survival_fdr,min_abs_log_hr,min_geo_abs_log2fc,n_candidates
0.01,0.6931471805599453,0.5,0
0.01,0.6931471805599453,0.25,0
0.01,0.4054651081081644,0.5,14
0.01,0.4054651081081644,0.25,23
0.01,0.22314355131420976,0.5,302
0.01,0.22314355131420976,0.25,444
0.025,0.6931471805599453,0.5,0
0.025,0.6931471805599453,0.25,0
0.025,0.4054651081081644,0.5,14
0.025,0.4054651081081644,0.25,23
0.025,0.22314355131420976,0.5,360
0.025,0.22314355131420976,0.25,520
0.05,0.6931471805599453,0.5,0
0.05,0.6931471805599453,0.25,0
0.05,0.4054651081081644,0.5,14
0.05,0.4054651081081644,0.25,23
0.05,0.22314355131420976,0.5,372
0.05,0.22314355131420976,0.25,538
