survival_fdr,min_abs_log_hr,min_geo_abs_log2fc,n_candidates
0.01,0.6931471805599453,0.5,0
0.01,0.6931471805599453,0.25,0
0.01,0.4054651081081644,0.5,19
0.01,0.4054651081081644,0.25,27
0.01,0.22314355131420976,0.5,295
0.01,0.22314355131420976,0.25,432
0.025,0.6931471805599453,0.5,0
0.025,0.6931471805599453,0.25,0
0.025,0.4054651081081644,0.5,19
0.025,0.4054651081081644,0.25,27
0.025,0.22314355131420976,0.5,358
0.025,0.22314355131420976,0.25,517
0.05,0.6931471805599453,0.5,0
0.05,0.6931471805599453,0.25,0
0.05,0.4054651081081644,0.5,19
0.05,0.4054651081081644,0.25,27
0.05,0.22314355131420976,0.5,370
0.05,0.22314355131420976,0.25,536
