symbol,tcga_gene_id,tcga_log2fc,tcga_apeglm_log2fc,tcga_apeglm_lfc_se,tcga_padj,tcga_significant,tcga_direction,gse40435_log2fc,gse40435_pvalue,gse40435_padj,gse40435_direction,gse40435_nominal,gse53757_log2fc,gse53757_pvalue,gse53757_padj,gse53757_direction,gse53757_nominal,same_direction_gse40435,same_direction_gse53757,same_direction_count,nominal_support_count,reproducible_deg
SPAG4,ENSG00000061656.10,4.097315214971676,3.8773060695764823,0.11876014204154198,3.7640378495935325e-257,TRUE,1,1.6442428670891107,8.501722864129301e-53,2.635870789775692e-50,1,TRUE,3.467959776794614,3.525315507224969e-31,8.580767958011414e-29,1,TRUE,TRUE,TRUE,2,2,TRUE
GABRD,ENSG00000187730.9,5.253359144631044,5.12167157119937,0.1612195480577286,2.708345169687439e-230,TRUE,1,0.49826114242574304,2.842282686290116e-31,5.2588394905056846e-30,1,TRUE,2.4501922591561476,3.1372364595908475e-21,5.320976293212645e-20,1,TRUE,TRUE,TRUE,2,2,TRUE
LOC100130691,ENSG00000213963.6,-3.5808851329454874,-3.5748137953180468,0.11044701052002702,1.368040617630096e-226,TRUE,-1,-0.4727731181980197,9.314721483134352e-23,8.376829078772805e-22,-1,TRUE,-2.382466672601575,1.8829424988547393e-29,2.549214459987955e-27,-1,TRUE,TRUE,TRUE,2,2,TRUE
EGLN3,ENSG00000129521.15,4.2412576553226184,4.294705479670416,0.1296079637864848,6.29708262869978e-225,TRUE,1,1.7917161608811891,1.2096055106324626e-48,1.9831197361227715e-46,1,TRUE,3.817481089016522,2.6664097045385552e-40,3.050372701992108e-36,1,TRUE,TRUE,TRUE,2,2,TRUE
NOL3,ENSG00000140939.14,3.3977424302595693,3.393702392104697,0.10817151566940442,6.463325134035325e-214,TRUE,1,1.8081573040297032,7.875301800016549e-54,2.8023545518831615e-51,1,TRUE,2.524514948712746,6.423179377354911e-34,5.067667039788979e-31,1,TRUE,TRUE,TRUE,2,2,TRUE
SCARB1,ENSG00000073060.16,4.095752936409821,3.8014870579626066,0.13276273979334147,1.1208637743990843e-206,TRUE,1,2.3689001509603975,2.44913674513789e-51,5.899405233634453e-49,1,TRUE,2.1030235132512227,3.6489092420916005e-29,4.664080640170717e-27,1,TRUE,TRUE,TRUE,2,2,TRUE
COL23A1,ENSG00000050767.17,5.174424146340652,4.816168622404396,0.1707061293354579,7.165537687584526e-200,TRUE,1,2.600338799920793,2.0166240740556985e-46,2.3740062501872234e-44,1,TRUE,4.03894408953976,3.9165159602198195e-31,9.334363038523903e-29,1,TRUE,TRUE,TRUE,2,2,TRUE
CA9,ENSG00000107159.13,6.049970895596455,5.881562588416566,0.2004579044979822,2.1475025728594183e-198,TRUE,1,4.049062281019804,2.555298007795189e-63,5.715471558292754e-60,1,TRUE,4.7790670965662105,1.2272040280773445e-37,5.615685632481927e-34,1,TRUE,TRUE,TRUE,2,2,TRUE
HSF4,ENSG00000102878.17,5.702334480264059,5.690893734835845,0.1901257908140984,4.745978203181135e-196,TRUE,1,1.1099260816633654,1.2456025749772344e-30,2.1802570728248806e-29,1,TRUE,1.8728635632359272,1.4981664044382081e-16,1.3163612647291165e-15,1,TRUE,TRUE,TRUE,2,2,TRUE
STC2,ENSG00000113739.10,4.243130782204836,3.914392864947412,0.1402979895112974,3.5750949489693385e-195,TRUE,1,2.26323783030693,3.317689948968271e-37,1.1738999216044342e-35,1,TRUE,2.375311595799141,8.194555982125117e-21,1.2948303927556813e-19,1,TRUE,TRUE,TRUE,2,2,TRUE
