symbol,manual_tier,external_present,external_n,external_events,external_log_hr,external_hr,external_hr_ci_low,external_hr_ci_high,external_p_value,external_ph_p_value,external_adjusted_log_hr,external_adjusted_p_value,external_adjusted_ph_p_value,external_same_direction,external_adjusted_same_direction,external_fdr,external_adjusted_fdr,external_directional_nominal_support,external_adjusted_directional_nominal_support,external_strict_support,external_interpretation,main_log_hr,main_hr,main_fdr,manuscript_role,survival_direction,tumor_direction
DDC,lead,TRUE,101,23,-0.6310423539514355,0.5320369410690778,0.3734412492973195,0.7579861817481695,4.752813990122335e-4,0.2290329956861227,-0.5164508772041924,0.004205376656039128,0.6693984125204585,TRUE,TRUE,0.002732868044320343,0.018797470968942485,TRUE,TRUE,TRUE,same-direction FDR support with limited adjustment and proportional-hazards support,-0.4168067446963606,0.659148291539331,1.5931425782635616e-6,amino-acid and biogenic-amine metabolism,higher expression associated with lower hazard,lower in tumor
CRYL1,lead,TRUE,101,23,-0.6765943634233695,0.5083452870264401,0.34242873173781263,0.7546531785768907,7.896730792418688e-4,0.06174226382527895,-0.5780802952724237,0.0049036880788545616,0.292738346102678,TRUE,TRUE,0.0030270801370938303,0.018797470968942485,TRUE,TRUE,TRUE,same-direction FDR support with limited adjustment and proportional-hazards support,-0.4532002843034422,0.6355908220125198,4.593756126736201e-8,renal metabolic differentiation,higher expression associated with lower hazard,lower in tumor
ACADM,lead,TRUE,101,23,-0.6564527051716585,0.5186880142539165,0.33630809064182055,0.7999725954175895,0.00298253776689002,0.9493156758062489,-0.5780453707758513,0.006428527575187159,0.5207326285345566,TRUE,TRUE,0.007848736689647313,0.021122304889900665,TRUE,TRUE,TRUE,same-direction FDR support with limited adjustment and proportional-hazards support,-0.44954477780770535,0.6379184801838119,8.62704062159463e-7,fatty-acid oxidation and mitochondrial metabolism,higher expression associated with lower hazard,lower in tumor
KL,lead,TRUE,101,23,-0.5074587069755868,0.6020235547328394,0.43023919507234887,0.8423973561781548,0.0030712447916011226,0.03918370078604602,-0.4497997890317216,0.011891918908097578,0.08041315612488328,TRUE,TRUE,0.007848736689647313,0.03039045943180492,TRUE,TRUE,FALSE,same-direction association with proportional-hazards violation,-0.4133638758779611,0.6614215636823719,9.353750013145848e-7,renal epithelial/metabolic retention,higher expression associated with lower hazard,lower in tumor
ACAT1,lead,TRUE,101,23,-0.5407142084177334,0.5823321972594429,0.37778076475875877,0.8976391060607816,0.014322415307990182,0.029524536436905054,-0.4840513727560339,0.0208096037170317,0.157006963561261,TRUE,TRUE,0.025339657852598015,0.042875884732723225,TRUE,TRUE,FALSE,same-direction association with proportional-hazards violation,-0.4087572707425221,0.6644755003940083,7.179093926870348e-5,"ketone, acetyl-CoA, and mitochondrial metabolism",higher expression associated with lower hazard,lower in tumor
CLCN5,supporting,TRUE,101,23,-0.548321826880415,0.5779188449200535,0.3833588799112554,0.8712206989728398,0.008838251968140982,0.04893585811381342,-0.4940931174103134,0.022370026817072987,0.09084490321630721,TRUE,TRUE,0.020327979526724257,0.042875884732723225,TRUE,TRUE,FALSE,same-direction association with proportional-hazards violation,-0.4179705520742072,0.6583816161123368,4.371021001853495e-6,proximal-tubule endosomal/metabolic differentiation,higher expression associated with lower hazard,lower in tumor
DBT,supporting,TRUE,101,23,-0.5422479706696096,0.5814397227140752,0.37715011351545613,0.8963861842665625,0.01407892595246763,0.6947580520654494,-0.36533772892974903,0.10543376005905304,0.9831101668513167,TRUE,TRUE,0.025339657852598015,0.1616650987572147,TRUE,FALSE,FALSE,same-direction nominal external support,-0.4166457711143031,0.6592544055414734,8.638768555258943e-5,branched-chain amino-acid metabolism,higher expression associated with lower hazard,lower in tumor
PANK1,supporting,TRUE,101,23,-0.5263700329697365,0.590745468932612,0.3846918542092838,0.9071681795335236,0.016166345898418387,0.008350740730246435,-0.44336985137131774,0.036366750939334835,0.025874771214499583,TRUE,TRUE,0.02655899683311592,0.06434117473882317,TRUE,TRUE,FALSE,same-direction association with proportional-hazards violation,-0.4768214482591282,0.6207533559913572,3.9189916199897603e-7,CoA metabolism and mitochondrial function,higher expression associated with lower hazard,lower in tumor
TCIRG1,supporting risk,TRUE,101,23,0.7344246635611534,2.0842824838157976,1.3658845495321832,3.1805275737464456,6.592565497288153e-4,0.008171550828271396,0.626314758417036,0.007832099078526061,0.0182998662030207,TRUE,TRUE,0.0030270801370938303,0.022517284850762424,TRUE,TRUE,FALSE,same-direction association with proportional-hazards violation,0.4294557278534527,1.536421064747406,1.5105233778983236e-5,"lysosomal acidification, glycolytic/immune risk",higher expression associated with higher hazard,higher in tumor
HHLA2,interpret cautiously,TRUE,101,23,-0.3351974219437983,0.7151968768564645,0.4933457112527407,1.0368116332994661,0.07686654951297539,0.6653182274778555,-0.387813590313298,0.051510525815967885,0.8256087432518371,TRUE,TRUE,0.11786204258656227,0.0846244352690901,FALSE,FALSE,FALSE,same direction but not nominally significant,-0.46871237804694216,0.6258075532641013,6.325570278773336e-8,immune-checkpoint paradox,higher expression associated with lower hazard,higher in tumor
